bench_num,backend,session_length,num_ops,num_keys,key_size,value_size,time
1,InMemory,1,1000000,100,8,32,337
1,InMemory,1,1000000,100,32,128,404
1,InMemory,1,1000000,100,128,512,604
1,InMemory,1,1000000,100,512,2048,1500
2,InMemory,1,1000000,100,8,32,828
2,InMemory,1,1000000,100,32,128,1244
2,InMemory,1,1000000,100,128,512,2945
2,InMemory,1,1000000,100,512,2048,9343
3,InMemory,1,1000000,100,8,32,350
3,InMemory,1,1000000,100,32,128,724
3,InMemory,1,1000000,100,128,512,1988
3,InMemory,1,1000000,100,512,2048,6941
4,InMemory,1,1000000,100,8,32,432
4,InMemory,1,1000000,100,32,128,914
4,InMemory,1,1000000,100,128,512,2417
4,InMemory,1,1000000,100,512,2048,8370
5,InMemory,1,1000000,100,8,32,262
5,InMemory,1,1000000,100,32,128,643
5,InMemory,1,1000000,100,128,512,2163
5,InMemory,1,1000000,100,512,2048,7165
1,Rocks,1,1000000,100,8,32,1155
1,Rocks,1,1000000,100,32,128,3585
1,Rocks,1,1000000,100,128,512,6742
1,Rocks,1,1000000,100,512,2048,13185
2,Rocks,1,1000000,100,8,32,1447
2,Rocks,1,1000000,100,32,128,1849
2,Rocks,1,1000000,100,128,512,3418
2,Rocks,1,1000000,100,512,2048,19306
3,Rocks,1,1000000,100,8,32,1231
3,Rocks,1,1000000,100,32,128,1676
3,Rocks,1,1000000,100,128,512,3223
3,Rocks,1,1000000,100,512,2048,8705
4,Rocks,1,1000000,100,8,32,2032
4,Rocks,1,1000000,100,32,128,2520
4,Rocks,1,1000000,100,128,512,4205
4,Rocks,1,1000000,100,512,2048,10858
5,Rocks,1,1000000,100,8,32,893
5,Rocks,1,1000000,100,32,128,1326
5,Rocks,1,1000000,100,128,512,2635
5,Rocks,1,1000000,100,512,2048,7981
1,Sled,1,1000000,100,8,32,1565
1,Sled,1,1000000,100,32,128,2114
1,Sled,1,1000000,100,128,512,2600
1,Sled,1,1000000,100,512,2048,17248
2,Sled,1,1000000,100,8,32,5551
2,Sled,1,1000000,100,32,128,7730
2,Sled,1,1000000,100,128,512,13150
2,Sled,1,1000000,100,512,2048,49233
3,Sled,1,1000000,100,8,32,1839
3,Sled,1,1000000,100,32,128,2831
3,Sled,1,1000000,100,128,512,5769
3,Sled,1,1000000,100,512,2048,14442
4,Sled,1,1000000,100,8,32,2254
4,Sled,1,1000000,100,32,128,3245
4,Sled,1,1000000,100,128,512,6141
4,Sled,1,1000000,100,512,2048,16193
5,Sled,1,1000000,100,8,32,1604
5,Sled,1,1000000,100,32,128,2363
5,Sled,1,1000000,100,128,512,4646
5,Sled,1,1000000,100,512,2048,13293
1,Faster,1,1000000,100,8,32,4507
1,Faster,1,1000000,100,32,128,5075
1,Faster,1,1000000,100,128,512,7180
1,Faster,1,1000000,100,512,2048,-1
1,Faster,3,1000000,100,8,32,2112
1,Faster,3,1000000,100,32,128,2656
1,Faster,3,1000000,100,128,512,4848
1,Faster,3,1000000,100,512,2048,-1
1,Faster,10,1000000,100,8,32,1243
1,Faster,10,1000000,100,32,128,1803
1,Faster,10,1000000,100,128,512,3893
1,Faster,10,1000000,100,512,2048,-1
1,Faster,100,1000000,100,8,32,899
1,Faster,100,1000000,100,32,128,1458
1,Faster,100,1000000,100,128,512,3568
1,Faster,100,1000000,100,512,2048,-1
2,Faster,1,1000000,100,8,32,4524
2,Faster,1,1000000,100,32,128,5517
2,Faster,1,1000000,100,128,512,8931
2,Faster,1,1000000,100,512,2048,23183
2,Faster,3,1000000,100,8,32,2203
2,Faster,3,1000000,100,32,128,3150
2,Faster,3,1000000,100,128,512,6549
2,Faster,3,1000000,100,512,2048,20726
2,Faster,10,1000000,100,8,32,1342
2,Faster,10,1000000,100,32,128,2246
2,Faster,10,1000000,100,128,512,5706
2,Faster,10,1000000,100,512,2048,19897
2,Faster,100,1000000,100,8,32,1025
2,Faster,100,1000000,100,32,128,1914
2,Faster,100,1000000,100,128,512,5370
2,Faster,100,1000000,100,512,2048,19524
3,Faster,1,1000000,100,8,32,4393
3,Faster,1,1000000,100,32,128,5227
3,Faster,1,1000000,100,128,512,8711
3,Faster,1,1000000,100,512,2048,22281
3,Faster,3,1000000,100,8,32,2045
3,Faster,3,1000000,100,32,128,2901
3,Faster,3,1000000,100,128,512,6339
3,Faster,3,1000000,100,512,2048,19795
3,Faster,10,1000000,100,8,32,1176
3,Faster,10,1000000,100,32,128,2066
3,Faster,10,1000000,100,128,512,5459
3,Faster,10,1000000,100,512,2048,18917
3,Faster,100,1000000,100,8,32,863
3,Faster,100,1000000,100,32,128,1726
3,Faster,100,1000000,100,128,512,5162
3,Faster,100,1000000,100,512,2048,18578
4,Faster,1,1000000,100,8,32,5063
4,Faster,1,1000000,100,32,128,6676
4,Faster,1,1000000,100,128,512,12260
4,Faster,1,1000000,100,512,2048,33906
4,Faster,3,1000000,100,8,32,2707
4,Faster,3,1000000,100,32,128,4195
4,Faster,3,1000000,100,128,512,9680
4,Faster,3,1000000,100,512,2048,31310
4,Faster,10,1000000,100,8,32,1866
4,Faster,10,1000000,100,32,128,3339
4,Faster,10,1000000,100,128,512,8801
4,Faster,10,1000000,100,512,2048,30410
4,Faster,100,1000000,100,8,32,1614
4,Faster,100,1000000,100,32,128,3026
4,Faster,100,1000000,100,128,512,8467
4,Faster,100,1000000,100,512,2048,30061
5,Faster,1,1000000,100,8,32,4946
5,Faster,1,1000000,100,32,128,5593
5,Faster,1,1000000,100,128,512,7186
5,Faster,1,1000000,100,512,2048,14071
5,Faster,3,1000000,100,8,32,2568
5,Faster,3,1000000,100,32,128,3023
5,Faster,3,1000000,100,128,512,4729
5,Faster,3,1000000,100,512,2048,11480
5,Faster,10,1000000,100,8,32,1673
5,Faster,10,1000000,100,32,128,2150
5,Faster,10,1000000,100,128,512,3858
5,Faster,10,1000000,100,512,2048,10510
5,Faster,100,1000000,100,8,32,1322
5,Faster,100,1000000,100,32,128,1824
5,Faster,100,1000000,100,128,512,3516
5,Faster,100,1000000,100,512,2048,10113
