,,,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
1,8,32,323,1519,1954,4007,2017,1066,657
1,32,128,416,4400,2361,4426,1934,1104,799
1,128,512,689,8977,3367,5195,2457,1442,1168
1,512,2048,1603,15310,21565,-1,-1,-1,-1
,,,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
2,8,32,1122,1742,6086,3969,1804,1086,711
2,32,128,1096,2196,9424,4844,2369,1480,1163
2,128,512,3286,5404,15321,6216,3884,3662,2741
2,512,2048,11440,22867,61788,14963,12124,11059,10762
,,,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
3,8,32,519,1594,2222,3880,1670,880,576
3,32,128,892,1973,3197,4395,2030,1282,963
3,128,512,2200,3679,6399,5904,3600,2819,2512
3,512,2048,7675,10156,21810,12253,10098,9422,8755
,,,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
4,8,32,566,3469,2689,4392,2181,1436,1028
4,32,128,1073,3103,3826,5168,2796,1954,1610
4,128,512,2733,5353,8637,8054,6086,4796,3701
4,512,2048,10321,15672,21585,15772,13185,11134,11119
,,,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
5,8,32,291,963,1916,5489,3117,1832,1503
5,32,128,745,2453,2990,5793,3157,2311,1990
5,128,512,2151,3267,5549,7905,5141,4486,3993
5,512,2048,8461,9596,17013,16248,12900,13375,12795
