experiment,key_size,value_size,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
1,8,32,414,8802,2411,56951,54199,53042,52580
1,32,128,511,17101,11695,94071,91384,90169,89951
1,128,512,730,18713,18044,200700,198043,196415,196161
1,512,2048,1692,42700,30782,271007,268262,267567,266344
experiment,key_size,value_size,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
2,8,32,777,1438,9261,4836,2338,1427,1058
2,32,128,1103,1738,13089,5295,2778,1832,1467
2,128,512,2455,3320,48010,6913,4307,3405,3028
2,512,2048,7270,21077,77622,13382,10700,9768,9394
experiment,key_size,value_size,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
3,8,32,578,1425,7557,4523,2015,1113,745
3,32,128,856,1753,10295,4990,2439,1534,1167
3,128,512,2011,3224,36369,6657,4104,3199,2804
3,512,2048,6320,20577,66711,13172,10487,9545,9225
experiment,key_size,value_size,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
4,8,32,696,5852,8069,52433,48982,48589,48218
4,32,128,1032,13828,10700,62231,59489,58429,57917
4,128,512,2376,43307,35132,109186,106483,105418,105180
4,512,2048,7932,136937,61155,146278,144862,144355,144135
experiment,key_size,value_size,InMemory,Rocks,Sled,Faster (1),Faster (3),Faster (10),Faster (100)
5,8,32,545,1378,7509,52138,43279,38643,20962
5,32,128,842,1658,10099,62014,50521,45157,16983
5,128,512,1942,3088,29705,90852,71446,58960,13417
5,512,2048,6410,17039,54674,99695,70655,39052,14735
