Time	UID	PID	%usr	%system	%guest	%wait	%CPU	CPU	minflt/s	majflt/s	VSZ	RSS	%MEM	kB_rd/s	kB_wr/s	kB_ccwr/s	iodelay	Command
17:12:55	1000	101862	98.00	11.00	0.00	0.00	109.00	0	54889.00	0.00	781892	166156	0.51	0.00	57360.00	0.00	0	resource_usage_
17:12:56	1000	101862	103.00	7.00	0.00	1.00	110.00	1	23695.00	0.00	821864	207200	0.64	0.00	53252.00	0.00	0	resource_usage_
17:12:57	1000	101862	107.00	5.00	0.00	0.00	112.00	1	21006.00	0.00	857472	244764	0.75	0.00	47112.00	0.00	0	resource_usage_
17:12:58	1000	101862	104.00	5.00	0.00	0.00	109.00	1	19823.00	0.00	888156	276860	0.85	0.00	46084.00	0.00	0	resource_usage_
17:12:59	1000	101862	103.00	7.00	0.00	0.00	110.00	1	18996.00	0.00	915276	306060	0.94	0.00	46600.00	0.00	0	resource_usage_
17:13:00	1000	101862	99.00	9.00	0.00	0.00	108.00	1	17891.00	0.00	945744	338208	1.04	0.00	39432.00	0.00	0	resource_usage_
17:13:01	1000	101862	105.00	5.00	0.00	0.00	110.00	1	14693.00	0.00	962832	356448	1.10	0.00	39436.00	0.00	0	resource_usage_
17:13:02	1000	101862	100.00	8.00	0.00	0.00	108.00	1	10369.00	0.00	968564	363088	1.12	0.00	34332.00	0.00	0	resource_usage_
17:13:03	1000	101862	100.00	9.00	0.00	0.00	109.00	1	8331.00	0.00	972360	367100	1.13	0.00	29712.00	0.00	0	resource_usage_
17:13:04	1000	101862	101.00	7.00	0.00	0.00	108.00	1	7770.00	0.00	974252	370336	1.14	4.00	28176.00	0.00	0	resource_usage_
17:13:05	1000	101862	99.00	8.00	0.00	0.00	107.00	1	7036.00	0.00	974608	371776	1.14	0.00	26400.00	0.00	0	resource_usage_
17:13:06	1000	101862	98.00	11.00	0.00	0.00	109.00	1	6636.00	0.00	974608	372632	1.15	0.00	25384.00	0.00	0	resource_usage_
17:13:07	1000	101862	94.00	15.00	0.00	0.00	109.00	1	6321.00	0.00	974608	373452	1.15	0.00	23560.00	0.00	0	resource_usage_
17:13:08	1000	101862	96.00	13.00	0.00	0.00	109.00	1	6210.00	0.00	974608	375000	1.15	0.00	23068.00	0.00	0	resource_usage_
17:13:09	1000	101862	96.00	11.00	0.00	0.00	107.00	1	5944.00	0.00	974608	375816	1.16	0.00	22556.00	0.00	0	resource_usage_
17:13:10	1000	101862	94.00	15.00	0.00	0.00	109.00	1	5765.00	0.00	974608	376712	1.16	0.00	21532.00	0.00	0	resource_usage_
17:13:11	1000	101862	89.00	19.00	0.00	0.00	108.00	1	5443.00	0.00	974608	377556	1.16	0.00	20500.00	0.00	0	resource_usage_
17:13:12	1000	101862	95.00	10.00	0.00	0.00	105.00	1	4924.00	0.00	974608	378600	1.16	0.00	18452.00	0.00	0	resource_usage_
17:13:13	1000	101862	93.00	14.00	0.00	0.00	107.00	1	4621.00	0.00	974608	379340	1.17	0.00	17436.00	0.00	0	resource_usage_
17:13:14	1000	101862	91.00	16.00	0.00	0.00	107.00	1	4383.00	0.00	974608	379624	1.17	0.00	16912.00	0.00	0	resource_usage_
