Time	UID	PID	%usr	%system	%guest	%wait	%CPU	CPU	minflt/s	majflt/s	VSZ	RSS	%MEM	kB_rd/s	kB_wr/s	kB_ccwr/s	iodelay	Command
18:36:57	1000	73225	92.00	2.00	0.00	0.00	94.00	10	29389.00	0.00	585724	123384	0.38	24.00	76.00	0.00	0	resource_usage_
18:36:58	1000	73225	112.00	2.00	0.00	0.00	114.00	10	9116.00	0.00	619536	159004	0.49	0.00	26612.00	0.00	0	resource_usage_
18:36:59	1000	73225	48.00	4.00	0.00	0.00	52.00	5	4381.00	0.00	569452	111200	0.34	25196.00	13648.00	0.00	56	resource_usage_
18:37:00	1000	73225	47.00	9.00	0.00	0.00	56.00	2	1386.00	0.00	577644	116744	0.36	15060.00	0.00	0.00	43	resource_usage_
18:37:01	1000	73225	92.00	7.00	0.00	0.00	99.00	2	4733.00	0.00	594028	135752	0.42	0.00	0.00	0.00	0	resource_usage_
18:37:02	1000	73225	97.00	3.00	0.00	0.00	100.00	2	3975.00	0.00	610412	151592	0.47	0.00	0.00	0.00	0	resource_usage_
18:37:03	1000	73225	120.00	6.00	0.00	0.00	126.00	2	4526.00	0.00	626800	169540	0.52	0.00	40068.00	0.00	0	resource_usage_
18:37:04	1000	73225	38.00	7.00	0.00	0.00	45.00	0	581.00	0.00	610408	155724	0.48	19680.00	8.00	0.00	55	resource_usage_
18:37:05	1000	73225	39.00	3.00	0.00	0.00	42.00	0	303.00	0.00	610408	156780	0.48	20388.00	0.00	0.00	57	resource_usage_
18:37:06	1000	73225	92.00	8.00	0.00	0.00	100.00	0	0.00	0.00	610408	156780	0.48	0.00	0.00	0.00	0	resource_usage_
18:37:07	1000	73225	93.00	7.00	0.00	0.00	100.00	0	0.00	0.00	610408	156780	0.48	0.00	0.00	0.00	0	resource_usage_
18:37:08	1000	73225	93.00	8.00	0.00	0.00	101.00	0	0.00	0.00	610408	156780	0.48	0.00	0.00	0.00	0	resource_usage_
18:37:09	1000	73225	91.00	8.00	0.00	0.00	99.00	0	1137.00	0.00	618600	161532	0.50	0.00	0.00	0.00	0	resource_usage_
18:37:10	1000	73225	96.00	12.00	0.00	0.00	108.00	1	2132.00	0.00	626792	170040	0.52	7164.00	40124.00	0.00	17	resource_usage_
18:37:11	1000	73225	44.00	8.00	0.00	1.00	52.00	8	436.00	0.00	626792	171624	0.53	15340.00	0.00	0.00	47	resource_usage_
18:37:12	1000	73225	42.00	9.00	0.00	0.00	51.00	5	425.00	0.00	626792	173472	0.53	15964.00	0.00	0.00	48	resource_usage_
18:37:13	1000	73225	85.00	9.00	0.00	0.00	94.00	10	49.00	0.00	626792	173472	0.53	1648.00	0.00	0.00	5	resource_usage_
18:37:14	1000	73225	91.00	9.00	0.00	0.00	100.00	10	0.00	0.00	626792	173472	0.53	0.00	0.00	0.00	0	resource_usage_
18:37:15	1000	73225	93.00	8.00	0.00	0.00	101.00	10	0.00	0.00	626792	173472	0.53	0.00	0.00	0.00	0	resource_usage_
18:37:16	1000	73225	92.00	8.00	0.00	0.00	100.00	4	0.00	0.00	626792	173472	0.53	0.00	0.00	0.00	0	resource_usage_
18:37:17	1000	73225	90.00	9.00	0.00	0.00	99.00	4	0.00	0.00	626792	173472	0.53	0.00	0.00	0.00	0	resource_usage_
18:37:18	1000	73225	117.00	10.00	0.00	0.00	127.00	4	612.00	0.00	626792	175780	0.54	4460.00	43992.00	0.00	4	resource_usage_
18:37:19	1000	73225	165.00	16.00	0.00	1.00	181.00	7	776.00	0.00	626792	179124	0.55	35432.00	89360.00	0.00	4	resource_usage_
18:37:20	1000	73225	33.00	12.00	0.00	0.00	45.00	4	0.00	0.00	626792	179124	0.55	23788.00	4632.00	0.00	60	resource_usage_
18:37:21	1000	73225	24.00	4.00	0.00	1.00	28.00	3	0.00	0.00	626792	179124	0.55	31180.00	0.00	0.00	71	resource_usage_
18:37:22	1000	73225	28.00	7.00	0.00	0.00	35.00	11	0.00	0.00	626792	179124	0.55	25040.00	0.00	0.00	64	resource_usage_
18:37:23	1000	73225	44.00	10.00	0.00	0.00	54.00	4	0.00	0.00	626792	179124	0.55	18060.00	0.00	0.00	44	resource_usage_
18:37:24	1000	73225	89.00	12.00	0.00	0.00	101.00	4	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:25	1000	73225	86.00	13.00	0.00	0.00	99.00	4	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:26	1000	73225	89.00	12.00	0.00	0.00	101.00	4	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:27	1000	73225	91.00	10.00	0.00	1.00	101.00	6	0.00	0.00	626792	179124	0.55	12796.00	39872.00	0.00	24	resource_usage_
18:37:28	1000	73225	37.00	12.00	0.00	0.00	49.00	4	0.00	0.00	626792	179124	0.55	23140.00	0.00	0.00	50	resource_usage_
18:37:29	1000	73225	79.00	11.00	0.00	0.00	90.00	9	0.00	0.00	626792	179124	0.55	3928.00	0.00	0.00	10	resource_usage_
18:37:30	1000	73225	86.00	14.00	0.00	0.00	100.00	9	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:31	1000	73225	90.00	9.00	0.00	0.00	99.00	9	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:32	1000	73225	90.00	10.00	0.00	0.00	100.00	9	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:33	1000	73225	89.00	11.00	0.00	0.00	100.00	9	0.00	0.00	626792	179124	0.55	0.00	0.00	0.00	0	resource_usage_
18:37:34	1000	73225	97.00	13.00	0.00	0.00	110.00	9	212.00	0.00	634988	179916	0.55	0.00	16348.00	0.00	0	resource_usage_
18:37:35	1000	73225	68.00	8.00	0.00	0.00	76.00	4	817.00	0.00	634988	183348	0.56	18604.00	23812.00	0.00	39	resource_usage_
18:37:36	1000	73225	42.00	11.00	0.00	0.00	53.00	10	658.00	0.00	634988	185988	0.57	21548.00	0.00	0.00	46	resource_usage_
18:37:37	1000	73225	88.00	11.00	0.00	0.00	99.00	10	360.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:38	1000	73225	88.00	12.00	0.00	1.00	100.00	10	0.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:39	1000	73225	89.00	10.00	0.00	0.00	99.00	10	0.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:40	1000	73225	91.00	10.00	0.00	0.00	101.00	10	0.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:41	1000	73225	90.00	10.00	0.00	0.00	100.00	10	0.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:42	1000	73225	94.00	6.00	0.00	0.00	100.00	10	0.00	0.00	634988	187308	0.58	0.00	0.00	0.00	0	resource_usage_
18:37:43	1000	73225	78.00	8.00	0.00	0.00	86.00	0	0.00	0.00	618684	171132	0.53	18036.00	39888.00	0.00	36	resource_usage_
18:37:44	1000	73225	47.00	6.00	0.00	0.00	53.00	8	0.00	0.00	618684	171132	0.53	21844.00	0.00	0.00	46	resource_usage_
18:37:45	1000	73225	93.00	7.00	0.00	0.00	100.00	8	0.00	0.00	618684	171132	0.53	0.00	0.00	0.00	0	resource_usage_
