Time	UID	PID	%usr	%system	%guest	%wait	%CPU	CPU	minflt/s	majflt/s	VSZ	RSS	%MEM	kB_rd/s	kB_wr/s	kB_ccwr/s	iodelay	Command
18:47:01	1000	74766	74.00	25.00	0.00	0.00	99.00	2	145552.00	0.00	662168	587240	1.81	0.00	4.00	0.00	0	resource_usage_
18:47:02	1000	74766	92.00	8.00	0.00	0.00	100.00	2	1075.00	0.00	666392	591464	1.82	0.00	0.00	0.00	0	resource_usage_
18:47:03	1000	74766	72.00	15.00	0.00	0.00	87.00	2	829.00	0.00	669696	594640	1.83	1059.00	98304.00	0.00	13	resource_usage_
18:47:04	1000	74766	34.00	65.00	0.00	0.00	99.00	2	16.00	0.00	669800	594936	1.83	18137.50	0.00	0.00	0	resource_usage_
18:47:05	1000	74766	36.00	65.00	0.00	0.00	101.00	2	24.00	0.00	669920	595040	1.83	18206.00	0.00	0.00	0	resource_usage_
18:47:06	1000	74766	38.00	62.00	0.00	0.00	100.00	2	34.00	0.00	670024	595152	1.83	18053.00	0.00	0.00	0	resource_usage_
18:47:07	1000	74766	36.00	63.00	0.00	0.00	99.00	2	26.00	0.00	670120	595152	1.83	18136.50	0.00	0.00	0	resource_usage_
18:47:08	1000	74766	32.00	64.00	0.00	0.00	96.00	2	30.00	0.00	670216	595352	1.83	17364.00	32768.00	0.00	4	resource_usage_
18:47:09	1000	74766	34.00	66.00	0.00	0.00	100.00	2	37.00	0.00	670420	595548	1.83	18145.50	0.00	0.00	0	resource_usage_
18:47:10	1000	74766	36.00	64.00	0.00	0.00	100.00	2	14.00	0.00	670420	595548	1.83	18166.50	0.00	0.00	0	resource_usage_
18:47:11	1000	74766	34.00	67.00	0.00	0.00	101.00	2	26.00	0.00	670528	595648	1.83	18151.50	0.00	0.00	0	resource_usage_
18:47:12	1000	74766	28.00	71.00	0.00	0.00	99.00	2	25.00	0.00	670640	595764	1.83	18042.50	0.00	0.00	0	resource_usage_
18:47:13	1000	74766	34.00	66.00	0.00	0.00	100.00	2	34.00	0.00	670752	595872	1.83	17999.50	0.00	0.00	0	resource_usage_
18:47:14	1000	74766	38.00	62.00	0.00	0.00	100.00	2	28.00	0.00	670864	595992	1.83	18074.00	0.00	0.00	0	resource_usage_
18:47:15	1000	74766	36.00	64.00	0.00	0.00	100.00	2	23.00	0.00	670972	596092	1.83	18138.00	0.00	0.00	0	resource_usage_
18:47:16	1000	74766	28.00	72.00	0.00	0.00	100.00	2	34.00	0.00	671088	596200	1.83	18113.00	0.00	0.00	0	resource_usage_
18:47:17	1000	74766	30.00	66.00	0.00	0.00	96.00	2	22.00	0.00	671188	596316	1.83	17411.00	32768.00	0.00	0	resource_usage_
18:47:18	1000	74766	39.00	61.00	0.00	0.00	100.00	2	22.00	0.00	671300	596436	1.83	18036.00	0.00	0.00	4	resource_usage_
18:47:19	1000	74766	29.00	70.00	0.00	0.00	99.00	2	32.00	0.00	671412	596532	1.83	18138.00	0.00	0.00	0	resource_usage_
18:47:20	1000	74766	33.00	68.00	0.00	0.00	101.00	2	27.00	0.00	671504	596648	1.84	18108.00	0.00	0.00	0	resource_usage_
18:47:21	1000	74766	32.00	67.00	0.00	0.00	99.00	2	27.00	0.00	671600	596744	1.84	18081.00	0.00	0.00	0	resource_usage_
18:47:22	1000	74766	38.00	63.00	0.00	0.00	101.00	2	24.00	0.00	671708	596836	1.84	18098.00	0.00	0.00	0	resource_usage_
18:47:23	1000	74766	35.00	65.00	0.00	1.00	100.00	2	33.00	0.00	671932	597048	1.84	18082.50	0.00	0.00	0	resource_usage_
18:47:24	1000	74766	32.00	67.00	0.00	0.00	99.00	8	25.00	0.00	671932	597048	1.84	18076.50	0.00	0.00	0	resource_usage_
18:47:25	1000	74766	32.00	69.00	0.00	0.00	101.00	8	33.00	0.00	672056	597160	1.84	18112.00	0.00	0.00	0	resource_usage_
18:47:26	1000	74766	38.00	62.00	0.00	0.00	100.00	8	22.00	0.00	672168	597160	1.84	18126.50	0.00	0.00	0	resource_usage_
18:47:27	1000	74766	30.00	66.00	0.00	0.00	96.00	8	30.00	0.00	672264	597396	1.84	17236.50	32768.00	0.00	5	resource_usage_
18:47:28	1000	74766	29.00	70.00	0.00	0.00	99.00	8	28.00	0.00	672392	597496	1.84	18121.00	0.00	0.00	0	resource_usage_
18:47:29	1000	74766	35.00	65.00	0.00	0.00	100.00	8	29.00	0.00	672524	597496	1.84	18128.50	0.00	0.00	0	resource_usage_
18:47:30	1000	74766	37.00	63.00	0.00	0.00	100.00	8	30.00	0.00	672652	597764	1.84	18099.00	0.00	0.00	0	resource_usage_
18:47:31	1000	74766	33.00	68.00	0.00	0.00	101.00	8	27.00	0.00	672748	597884	1.84	18120.50	0.00	0.00	0	resource_usage_
18:47:32	1000	74766	36.00	63.00	0.00	0.00	99.00	8	22.00	0.00	672852	597976	1.84	18093.00	0.00	0.00	0	resource_usage_
18:47:33	1000	74766	35.00	65.00	0.00	0.00	100.00	2	29.00	0.00	672948	598088	1.84	18121.00	0.00	0.00	0	resource_usage_
18:47:34	1000	74766	36.00	64.00	0.00	0.00	100.00	2	24.00	0.00	673044	598188	1.84	18113.00	0.00	0.00	0	resource_usage_
18:47:35	1000	74766	30.00	70.00	0.00	0.00	100.00	2	33.00	0.00	673152	598280	1.84	18097.00	0.00	0.00	0	resource_usage_
18:47:36	1000	74766	35.00	61.00	0.00	0.00	96.00	2	26.00	0.00	673272	598400	1.84	17259.00	32768.00	0.00	3	resource_usage_
18:47:37	1000	74766	42.00	58.00	0.00	0.00	100.00	2	25.00	0.00	673372	598512	1.84	18096.00	0.00	0.00	0	resource_usage_
18:47:38	1000	74766	35.00	65.00	0.00	0.00	100.00	2	21.00	0.00	673480	598612	1.84	18144.50	0.00	0.00	0	resource_usage_
18:47:39	1000	74766	28.00	71.00	0.00	0.00	99.00	2	35.00	0.00	673600	598720	1.84	18081.50	0.00	0.00	0	resource_usage_
18:47:40	1000	74766	36.00	65.00	0.00	0.00	101.00	2	32.00	0.00	673708	598828	1.84	18124.00	0.00	0.00	0	resource_usage_
18:47:41	1000	74766	38.00	62.00	0.00	0.00	100.00	2	31.00	0.00	673896	599032	1.84	18159.50	0.00	0.00	0	resource_usage_
18:47:42	1000	74766	34.00	66.00	0.00	0.00	100.00	2	25.00	0.00	674008	599128	1.84	18144.50	0.00	0.00	0	resource_usage_
18:47:43	1000	74766	32.00	68.00	0.00	0.00	100.00	2	24.00	0.00	674108	599236	1.84	18114.50	0.00	0.00	0	resource_usage_
18:47:44	1000	74766	35.00	65.00	0.00	0.00	100.00	2	30.00	0.00	674204	599236	1.84	18092.00	0.00	0.00	0	resource_usage_
18:47:45	1000	74766	33.00	66.00	0.00	0.00	99.00	2	28.00	0.00	674300	599452	1.84	18143.00	0.00	0.00	0	resource_usage_
18:47:46	1000	74766	31.00	65.00	0.00	0.00	96.00	2	26.00	0.00	674396	599532	1.84	17361.00	32768.00	0.00	4	resource_usage_
18:47:47	1000	74766	36.00	65.00	0.00	0.00	101.00	2	26.00	0.00	674500	599628	1.84	17948.00	0.00	0.00	0	resource_usage_
18:47:48	1000	74766	33.00	66.00	0.00	1.00	99.00	2	26.00	0.00	674596	599732	1.84	18094.00	0.00	0.00	0	resource_usage_
18:47:49	1000	74766	28.00	72.00	0.00	0.00	100.00	2	28.00	0.00	674716	599836	1.84	18078.50	0.00	0.00	0	resource_usage_
18:47:50	1000	74766	34.00	66.00	0.00	0.00	100.00	2	36.00	0.00	674956	599948	1.85	18122.00	0.00	0.00	0	resource_usage_
18:47:51	1000	74766	35.00	65.00	0.00	0.00	100.00	8	16.00	0.00	674916	600052	1.85	18121.00	0.00	0.00	0	resource_usage_
18:47:52	1000	74766	32.00	68.00	0.00	0.00	100.00	8	43.00	0.00	675120	600256	1.85	18082.50	0.00	0.00	0	resource_usage_
18:47:53	1000	74766	34.00	66.00	0.00	0.00	100.00	8	18.00	0.00	675224	600360	1.85	18113.00	0.00	0.00	0	resource_usage_
18:47:54	1000	74766	34.00	66.00	0.00	0.00	100.00	8	27.00	0.00	675324	600452	1.85	18146.50	0.00	0.00	0	resource_usage_
18:47:55	1000	74766	35.00	60.00	0.00	0.00	95.00	8	25.00	0.00	675412	600556	1.85	17306.00	32768.00	0.00	5	resource_usage_
18:47:56	1000	74766	36.00	65.00	0.00	0.00	101.00	8	29.00	0.00	675532	600652	1.85	18086.50	0.00	0.00	0	resource_usage_
18:47:57	1000	74766	36.00	64.00	0.00	0.00	100.00	8	34.00	0.00	675636	600764	1.85	18103.00	0.00	0.00	0	resource_usage_
